"addresses__address1","addresses__address2","addresses__city","addresses__state","addresses__postalCode","addresses__coordinates__lat","addresses__coordinates__lng","attribution"
"1745 T Street Southeast","","Washington","DC","20020","38.867033","-76.979235","City of Haddam (CT)"
"6007 Applegate Lane","","Louisville","KY","40219","38.1343013","-85.6498512","Ciy of Hartford (CT)"
"560 Penstock Drive","","Grass Valley","CA","95945","39.213076","-121.077583","City of Lyme (CT)"
"150 Carter Street","","Manchester","CT","06040","41.76556000000001","-72.473091","City of Manchester (CT)"
"2721 Lindsay Avenue","","Louisville","KY","40206","38.263793","-85.700243","City of Watertown (CT)"
"18 Densmore Drive","","Essex","VT","05452","44.492953","-73.101883","City of Avon (CT)"
"637 Britannia Drive","","Vallejo","CA","94591","38.10476999999999","-122.193849","Town of Fairfield (CT)"
"5601 West Crocus Drive","","Glendale","AZ","85306","33.6152469","-112.179737","City of Groton (CT)"
"5403 Illinois Avenue","","Nashville","TN","37209","36.157077","-86.853827","Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT (MA)"
"8821 West Myrtle Avenue","","Glendale","AZ","85305","33.5404296","-112.2488391","VT Enhanced 911 Board, VCGI (VT)"
"2203 7th Street Road","","Louisville","KY","40208","38.218107","-85.779006","City of Huntsville (AL)"
"6463 Vrain Street","","Arvada","CO","80003","39.814056","-105.046913","City of Montgomery (AL)"
"87 Horseshoe Drive","","West Windsor","VT","05037","43.4731793","-72.4967532","Shelby County (AL)"
"60 Desousa Drive","","Manchester","CT","06040","41.7409259","-72.5619104","Talladega County (AL)"
"4 Old Colony Way","","Yarmouth","MA","02664","41.697168","-70.189992","City of Fayetteville (AR)"
"314 South 17th Street","","Nashville","TN","37206","36.1719075","-86.740228","Arkansas Geographic Information Office (AR)"
"1649 Timberridge Court","","Fayetteville","AR","72704","36.084563","-94.206082","City of Washington (DC)"
"5461 West Shades Valley Drive","","Montgomery","AL","36108","32.296422","-86.34280299999999","Bay County (FL)"
"629 Debbie Drive","","Nashville","TN","37076","36.208114","-86.58621199999999","Brevard County (FL)"
"22572 Toreador Drive","","Salinas","CA","93908","36.602449","-121.699071","Charlotte County (FL)"
"3034 Mica Street","","Fayetteville","AR","72704","36.0807929","-94.2066449","Citrus County (FL)"
"3729 East Mission Boulevard","","Fayetteville","AR","72703","36.0919353","-94.10654219999999","Clay County (FL)"
"5114 Greentree Drive","","Nashville","TN","37211","36.0618539","-86.738508","Highlands County, FL (FL)"
"3466 Southview Avenue","","Montgomery","AL","36111","32.341227","-86.2846859","Hillsborough County (FL)"
"1513 Cathy Street","","Savannah","GA","31415","32.067416","-81.125331","City of Savannah (GA)"
"600 West 19th Avenue","APT B","Anchorage","AK","99503","61.203115","-149.894107","Gordon County (GA)"
"1208 Elkader Court North","","Nashville","TN","37013","36.080049","-86.60116099999999","Muscogee County (GA)"
"210 Green Road","","Manchester","CT","06042","41.7909099","-72.51195129999999","Sumter County (GA)"
"49548 Road 200","","O'Neals","CA","93645","37.153463","-119.648192","Metro Louisville,  LOJIC partners (KY)"
"81 Seaton Place Northwest","","Washington","DC","20001","38.9149499","-77.01170259999999","Anne Arundel County (MD)"
"1267 Martin Street","#203","Nashville","TN","37203","36.1404897","-86.7695179","City of Baltimore (MD)"
"7431 Candace Way","#1","Louisville","KY","40214","38.142768","-85.7717132","Frederick County (MD)"
"1407 Walden Court","","Crofton","MD","21114","39.019306","-76.660653","Oklahoma and Logan Counties - Association of Central Oklahoma Governments (OK)"
"5906 Milton Avenue","","Deale","MD","20751","38.784451","-76.54125499999999","Kern, Cleveland, Canadian, Logan Counties (OK)"
"74 Springfield Street","B","Agawam","MA","01001","42.0894922","-72.6297558","City of Nashville (TN)"
"2905 Stonebridge Court","","Norman","OK","73071","35.183319","-97.40210499999999","Cooke,Fannin,Grayson Counties - Texoma Council of Governments (TX)"
"20930 Todd Valley Road","","Foresthill","CA","95631","38.989466","-120.883108","Municipality of Anchorage (AK)"
"5928 West Mauna Loa Lane","","Glendale","AZ","85306","33.6204899","-112.18702","Copyright © 2015 Kenai Peninsula Borough (AK)"
"802 Madison Street Northwest","","Washington","DC","20011","38.9582381","-77.0244287","Matanuska-Susitna Borough (AK)"
"2811 Battery Place Northwest","","Washington","DC","20016","38.9256252","-77.0982646","City of Glendale (AZ)"
"210 Lacross Lane","","Westmore","VT","05860","44.771005","-72.048664","City of Mesa (AZ)"
"2010 Rising Hill Drive","","Norman","OK","73071","35.177281","-97.411869","Alameda County (CA)"
"388 East Main Street","","","VT","05753","43.9727945","-73.1023187","Amador County (CA)"
"450 Kinhawk Drive","","Nashville","TN","37211","36.030927","-86.71949099999999","City of Berkeley (CA)"
"131 Westerly Street","","Manchester","CT","06042","41.7906813","-72.53559729999999","Butte County (CA)"
